jisra	jisra: x1 は x2 (原料 / 種類)の汁 / ジュース https://jbovlaste.lojban.org/dict/jisra
jitro	jitro (tro): x1 は x2 を x3 (動作 / 事)に関して制御 / 指揮 / 引率する https://jbovlaste.lojban.org/dict/jitro
jivna	jivna (jvi): x1 は x2 と x3 (事)に関して x4 (利益)を競う / 競合する / 試合する https://jbovlaste.lojban.org/dict/jivna
jmive	jmive (miv, ji'e): x1 は x2 (観点 / 基準)において生きている; x1 は生物 / 生体 / 有機体 https://jbovlaste.lojban.org/dict/jmive
jorne	jorne (jon, jo'e): x1 は x2 (対象本体)と、 x3 (対象箇所)において結合 / 接続している; x1 と x2 は結束している https://jbovlaste.lojban.org/dict/jorne
jubme	jubme (jub, jbu): x1 は x2 (素材)・ x3 (脚 / 柱 / 台座)の机 / テーブル / 台 https://jbovlaste.lojban.org/dict/jubme
judri	judri: x1 は x2 の、 x3 (体系)における住所 / 宛先 https://jbovlaste.lojban.org/dict/judri
jufra	jufra (juf, ju'a): x1 (文字列)は x2 (題目)の、 x3 (言語)における文 https://jbovlaste.lojban.org/dict/jufra
jukpa	jukpa (jup): x1 は x2 (完成品)に x3 (方法)で料理する https://jbovlaste.lojban.org/dict/jukpa
junla	junla (jul): x1 は x2 (時間単位)を x3 (精度)・ x4 (方法)で計測する時計 / 計時器具 https://jbovlaste.lojban.org/dict/junla
kabri	kabri: x1 は x2 (内容)・ x3 (素材)のコップ / カップ / タンブラー / マグ / 茶碗 / 杯 https://jbovlaste.lojban.org/dict/kabri
kacma	kacma: x1 は x2 (光学的対象)を x3 (媒体)に記録するカメラ https://jbovlaste.lojban.org/dict/kacma
kagni	kagni (kag): x1 は x2 (権限)・ x3 (目的)の会社 / 企業 https://jbovlaste.lojban.org/dict/kagni
kakne	kakne (ka'e): x1 は x2 (事)が x3 (条件)においてできる; x1 は有能 https://jbovlaste.lojban.org/dict/kakne
kalci	kalci: x1 は x2 (生体)の糞 / 排泄物 https://jbovlaste.lojban.org/dict/kalci
kalri	kalri (kar): x1 は x2 (通り抜けた先)へ x3 (通り抜けるもの)にとって開いている https://jbovlaste.lojban.org/dict/kalri
kampu	kampu (kau): x1 (性質)は x2 (集合)の間で普遍 / 一般的; x1 は普通 https://jbovlaste.lojban.org/dict/kampu
kanla	kanla (kal): x1 は x2 (本体)の目 / 眼 / 視覚器官; x1 は視覚者 https://jbovlaste.lojban.org/dict/kanla
kanro	kanro (ka'o): x1 は x2 (基準)において健康 / すこやか https://jbovlaste.lojban.org/dict/kanro
kansa	kansa (kan): x1 は x2 に、 x3 (事)において伴う / 付き添う; x1 と x2 は一緒 https://jbovlaste.lojban.org/dict/kansa
karce	karce: x1 は x2 (客 / 荷)・ x3 (原動力)の車 https://jbovlaste.lojban.org/dict/karce
karni	karni: x1 は x2 (内容)・ x3 (出版者)・ x4 (読者)の刊行物 / 雑誌 / 新聞 https://jbovlaste.lojban.org/dict/karni
kecti	kecti (kec, ke'i): x1 は x2 を x3 (事)について哀れむ / 慈しむ / かわいそうだと思う; x1 は慈悲的 https://jbovlaste.lojban.org/dict/kecti
kelci	kelci (kel, kei): x1 は x2 (道具 / 方法)で遊ぶ https://jbovlaste.lojban.org/dict/kelci
kerfa	kerfa (kre): x1 は x2 (本体)・ x3 (箇所)の毛 / 髪 https://jbovlaste.lojban.org/dict/kerfa
kerlo	kerlo (ker): x1 は x2 (本体)の耳 / 聴覚器官; x1 は聴覚者 https://jbovlaste.lojban.org/dict/kerlo
kevna	kevna (kev, ke'a): x1 は x2 の穴; x2 は x1 (箇所)において貫通している https://jbovlaste.lojban.org/dict/kevna
kicne	kicne (kic, ki'e): x1 は x2 のための、 x3 (素材)のクッション / 座布団; x1 は x2 を x3 で緩衝する https://jbovlaste.lojban.org/dict/kicne
klaji	klaji (laj): x1 は x2 (所)における、 x3 につながる街路 / 通り / 回廊 https://jbovlaste.lojban.org/dict/klaji
klaku	klaku (kak): x1 は x2 (涙)・ x3 (理由)で泣く https://jbovlaste.lojban.org/dict/klaku
klama	klama (kla): x1 は x2 (終点)に x3 (起点)から x4 (経路)を x5 (方法)で行く / 来る https://jbovlaste.lojban.org/dict/klama
klani	klani (lai): x1 は x2 (数)を測定値として x3 (尺度 / 概念)について測定された量 https://jbovlaste.lojban.org/dict/klani
klesi	klesi (kle, lei): x1 は x2 (上位の枠組)・ x3 (特質)の部門 / カテゴリー / クラス / 組 / 派 / 種類 / タイプ https://jbovlaste.lojban.org/dict/klesi
korcu	korcu (kro): x1 は曲がっている / 歪んでいる / ねじれている https://jbovlaste.lojban.org/dict/korcu
kosta	kosta (kos): x1 は x2 (素材)のコート / ジャケット / マント https://jbovlaste.lojban.org/dict/kosta
krasi	krasi (kra): x1 (所 / 事)は x2 (物 / 者 / 事)の起源 / 根源 / 発祥地 https://jbovlaste.lojban.org/dict/krasi
krici	krici (kri): x1 は x2 (命題)を x3 (題目)について信じる https://jbovlaste.lojban.org/dict/krici
krinu	krinu (rin, ki'u): x1 (事)は x2 (事)を許容する理由 https://jbovlaste.lojban.org/dict/krinu
kufra	kufra (kuf): x1 は x2 (環境性質)について快適 / 心地良さを感じる https://jbovlaste.lojban.org/dict/kufra
kumfa	kumfa (kum, ku'a): x1 は x2 (構造)内の x3 (壁 / 天井 / 床)で仕切られた部屋 / 室 https://jbovlaste.lojban.org/dict/kumfa
kunti	kunti (kut): x1 は x2 (内容)が無い; x1 は空っぽ https://jbovlaste.lojban.org/dict/kunti
kurki	kurki: x1 は x2 (者)にたいして苦い / ビター https://jbovlaste.lojban.org/dict/kurki
kusru	kusru (kus): x1 (者)は x2 にたいして酷い / 意地悪 / 不親切 https://jbovlaste.lojban.org/dict/kusru
lacpu	lacpu (lap, cpu): x1 は x2 (対象本体)・ x3 (対象箇所)を引く / 引っ張る https://jbovlaste.lojban.org/dict/lacpu
ladru	ladru (lad): x1 は x2 (起源)のミルク / 牛乳; x1 は乳性 / 酪農の https://jbovlaste.lojban.org/dict/ladru
lafti	lafti (laf): x1 (力)は x2 (対象本体)・ x3 (対象箇所)を x4 (重力)に対して持ち上げる / 拾う / すくう https://jbovlaste.lojban.org/dict/lafti
lakne	lakne (la'e): x1 (事)は x2 (条件)でありうる / 起こりうる / 蓋然的 https://jbovlaste.lojban.org/dict/lakne
laldo	laldo: x1 は x2 (基準)において古い / 高齢 / 年寄り https://jbovlaste.lojban.org/dict/laldo
lalxu	lalxu (la'u): x1 は x2 (所)の湖 / 池 / 水たまり https://jbovlaste.lojban.org/dict/lalxu
lamji	lamji (lam, la'i): x1 は x2 に、 x3 (並列特性)・ x4 (並列方向)で隣接する / 隣り合う; x1 は x2 の隣 https://jbovlaste.lojban.org/dict/lamji
lante	lante: x1 は x2 (生鮮物)を詰めた、 x3 (素材)の缶容器 https://jbovlaste.lojban.org/dict/lante
lanzu	lanzu (laz): x1 (群)は x2 (成員)の、 x3 (基準)において結ばれている家族 / 部族 https://jbovlaste.lojban.org/dict/lanzu
larcu	larcu (lar): x1 (創作物 / 創作過程)は x2 (芸術様式 / 芸術流派)の実践 / 応用; x1 は芸術的 https://jbovlaste.lojban.org/dict/larcu
lasna	lasna (la'a): x1 (者)は x2 を x3 に x4 (留め具)で留める / つなげる / くっつける / 縛る https://jbovlaste.lojban.org/dict/lasna
lazni	lazni: x1 (者)は x2 (動作 / 仕事 / 努力 / 事)に関して怠惰 / 怠ける; x1 は x2 を怠る https://jbovlaste.lojban.org/dict/lazni
lebna	lebna (leb, le'a): x1 は x2 (物 / 性質)を x3 (者)から取る / 得る / 奪う / 盗む / 取り除く / 没収 / 着服する https://jbovlaste.lojban.org/dict/lebna
lenku	lenku (lek): x1 は x2 (基準)において冷たい / 涼しい https://jbovlaste.lojban.org/dict/lenku
lerci	lerci (lec): x1 (事)は x2 (基準)において時期的 / 時刻的に遅い https://jbovlaste.lojban.org/dict/lerci
lerfu	lerfu (ler, le'u): x1 は x2 (文字体系)において x3 を表す字(文字 / 数字) https://jbovlaste.lojban.org/dict/lerfu
lidne	lidne (li'e): x1 は x2 を、 x3 (序列)において先行する / 先立つ / 率先する; x2 は x1 に続く; x1 は前者; x2 は後者 https://jbovlaste.lojban.org/dict/lidne
lifri	lifri (lif, fri): x1 (者 / 事)は x2 (事)を経験する; x2 に x1 は見舞われる; x2 は経験的 / 実験上 / 実証可能 https://jbovlaste.lojban.org/dict/lifri
limna	limna (lim): x1 は x2 (液体)中を泳ぐ / 水泳する https://jbovlaste.lojban.org/dict/limna
linji	linji (lij, li'i): x1 は x2 (点集合)の間の線 https://jbovlaste.lojban.org/dict/linji
linto	linto (li'o): x1 は x2 (基準)において軽い / 軽量 https://jbovlaste.lojban.org/dict/linto
liste	liste (ste): x1 は x2 (集合)を x3 (序列)で x4 (媒体)に表した目録 / カタログ / リスト / 一覧 / 名簿 / ログ https://jbovlaste.lojban.org/dict/liste
litki	litki (lik): x1 は x2 (成分 / 物質)の、 x3 (条件)における液体 / 流動体 https://jbovlaste.lojban.org/dict/litki
livla	livla (lil): x1 は x2 のための燃料 https://jbovlaste.lojban.org/dict/livla
lojbo	lojbo (lob, jbo): x1 は x2 (性質面)に関してロジバン系 https://jbovlaste.lojban.org/dict/lojbo
loldi	loldi (lol, loi): x1 は x2 の床 / 底面 https://jbovlaste.lojban.org/dict/loldi
lujvo	lujvo (luv, jvo): x1 (文字列)は x2 (意味)・ x3 (項)を有する、 x4 (形態素)から作られた合成語・複合語 https://jbovlaste.lojban.org/dict/lujvo
lumci	lumci (lum, lu'i): x1 は x2 の汚れ x3 を洗浄剤 / 用具 x4 で洗う https://jbovlaste.lojban.org/dict/lumci
lunra	lunra (lur): x1 は地球の月; x1 は x2 の主要衛星 https://jbovlaste.lojban.org/dict/lunra
mabru	mabru (mab): x1 は x2 (種類)の哺乳綱動物 https://jbovlaste.lojban.org/dict/mabru
macnu	macnu (cnu): x1 (事象)は機能 x2 に関して x3 の条件下で手動(自動ではない) https://jbovlaste.lojban.org/dict/macnu
makcu	makcu (ma'u): x1 は x2 (性質)に関して成熟している; x1 は成人 / おとな https://jbovlaste.lojban.org/dict/makcu
mamta	mamta (mam): x1 は x2 の母親; x1 は母性的 https://jbovlaste.lojban.org/dict/mamta
manci	manci (mac): x1 は x2 に畏敬の念を感じる / 驚嘆する; x1 は x2 を摩訶不思議に思う https://jbovlaste.lojban.org/dict/manci
manku	manku (man): x1 は暗い / 闇 https://jbovlaste.lojban.org/dict/manku
mapku	mapku (map): x1 は x2 (素材)の帽子 / 冠 / 兜 / ヘルメット https://jbovlaste.lojban.org/dict/mapku
marce	marce (ma'e): x1 は x2 を x3 (媒体)・ x4 (原動力)で運ぶ輸送機関 / 乗物 https://jbovlaste.lojban.org/dict/marce
masno	masno (sno): x1 は x2 (事)に関して速度的に遅い / のろい / もたもたする https://jbovlaste.lojban.org/dict/masno
masti	masti (ma'i): x1 は x2 (数)・ x3 (暦)の月 https://jbovlaste.lojban.org/dict/masti
matci	matci: x1 は x2 (素材)の敷物 / マット / むしろ / ござ / たたみ https://jbovlaste.lojban.org/dict/matci
melbi	melbi (mel, mle): x1 は x2 (審美者)にとって x3 (性質)・ x4 (審美基準)において美しい / 綺麗 / 麗しい / ハンサム / かわいい https://jbovlaste.lojban.org/dict/melbi
menli	menli (men): x1 は x2 (本体)の精神 / 心 / 悟性; x1 は心的 https://jbovlaste.lojban.org/dict/menli
mensi	mensi (mes, me'i): x1 は x2 と、 x3 (血縁)によって姉妹関係にある; x1 は x2 の姉 / 妹 https://jbovlaste.lojban.org/dict/mensi
mentu	mentu (met, me'u): x1 は x2 (数)分の時間間隔、 x3 (基準)において https://jbovlaste.lojban.org/dict/mentu
midju	midju (mij): x1 は x2 の中央 / 中心 / 中枢 / 真ん中 https://jbovlaste.lojban.org/dict/midju
minde	minde (mid, mi'e): x1 は x2 (者)に x3 (事)が起こるよう / を行うよう命令 / 指令 / 指図する https://jbovlaste.lojban.org/dict/minde
minji	minji (mi'i): x1 は x2 (機能 / 用途)の機械 https://jbovlaste.lojban.org/dict/minji
mintu	mintu (mit, mi'u): x1 は x2 と、 x3 (基準)において同種 https://jbovlaste.lojban.org/dict/mintu
mipri	mipri (mip): x1 は x2 を x3 から、 x4 (方法)によって匿う / 隠す / 秘密にする https://jbovlaste.lojban.org/dict/mipri
misno	misno (mis, mi'o): x1 (人 / 物 / 事)は x2 (群)の間で有名 https://jbovlaste.lojban.org/dict/misno
mitre	mitre (tre): x1 は x2 (数量)・ x3 (方向)・ x4 (基準)のメートル; x1 は x2 メートル https://jbovlaste.lojban.org/dict/mitre
mlatu	mlatu (lat): x1 は x2 (種類)のネコ科動物(チーター / イエネコ / ヤマネコ / ヒョウ / ピューマ等) https://jbovlaste.lojban.org/dict/mlatu
mleca	mleca (mec, me'a): x1 は x2 よりも、 x3 (性質)に関して x4 (数量)ほど劣る / 少ない https://jbovlaste.lojban.org/dict/mleca
mokca	mokca (moc): x1 は x2 (時間 / 空間)における点; x1 は0次元 https://jbovlaste.lojban.org/dict/mokca
moklu	moklu (mol, mo'u): x1 は x2 (本体)の口 https://jbovlaste.lojban.org/dict/moklu
morji	morji (moj, mo'i): x1 は x2 (命題)を x3 (題目)について思い出す / 回想する https://jbovlaste.lojban.org/dict/morji
morsi	morsi (mro): x1 は死んでいる / 生が無い https://jbovlaste.lojban.org/dict/morsi
mrilu	mrilu (mri): x1 は x2 (郵便物 / 手紙 / Eメール)を x3 (終点)に x4 (始点)から x5 (ネットワーク / システム)によって送達する https://jbovlaste.lojban.org/dict/mrilu
mukti	mukti (muk, mu'i): x1 (事)は x2 (事)を x3 (者)に動機する; x3 は x1 に鼓舞されて x2 をする https://jbovlaste.lojban.org/dict/mukti
munje	munje (muj, mu'e): x1 は x2 (領域 / 分野)・ x3 (法則・原理)の世界 https://jbovlaste.lojban.org/dict/munje
mutce	mutce (tce): x1 は x2 (性質)に関して、 x3 (極性)に対して凄い; x1 はとても x2 https://jbovlaste.lojban.org/dict/mutce
muvdu	muvdu (muv, mu'u): x1 (物)は x2 (終点)に x3 (始点)から x4 (経路)にわたって動く; x1 は動的 https://jbovlaste.lojban.org/dict/muvdu
nabmi	nabmi (nam): x1 (事)は x2 が遭遇した、 x3 (状況 / 課業)における問題; x1 は x2 に熟考を要する https://jbovlaste.lojban.org/dict/nabmi
nakni	nakni (nak): x1 は x2 (生物種)の、 x3 (体現性質)に基づく男性 / 雄; x1 は男性的 https://jbovlaste.lojban.org/dict/nakni
namcu	namcu (nac, na'u): x1 は数 / 量 / 値 https://jbovlaste.lojban.org/dict/namcu
nanba	nanba (nab): x1 は x2 (種類 / 原料 / 穀物)のパン https://jbovlaste.lojban.org/dict/nanba
nanca	nanca (na'a): x1 は x2 (数(初期設定では1年))年間、 x3 (基準)で継続する; x1 は年次 https://jbovlaste.lojban.org/dict/nanca
nandu	nandu (nad): x1 は x2 にとって、 x3 (条件)のもと難しい / 難関 https://jbovlaste.lojban.org/dict/nandu
nanla	nanla: x1 は x2 (年齢)・ x3 (基準)の少年 / 未成熟の男 https://jbovlaste.lojban.org/dict/nanla
nanmu	nanmu (nau): x1 は男(の人) https://jbovlaste.lojban.org/dict/nanmu
narju	narju (naj): x1 は橙色 / オレンジ色 https://jbovlaste.lojban.org/dict/narju
nazbi	nazbi (naz, zbi): x1 は x2 (生体)・ x3 (鼻腔)の鼻 https://jbovlaste.lojban.org/dict/nazbi
nelci	nelci (nel, nei): x1 は x2 (物 / 事)を好む / 好き / 気に入っている https://jbovlaste.lojban.org/dict/nelci
nenri	nenri (ner, ne'i): x1 は x2 の中(にある); x1 は内部 / 内側; x2 は x1 を内蔵する https://jbovlaste.lojban.org/dict/nenri
nibli	nibli (nib, ni'i): x1 は x2 (事)を x3 (法則 / 論理 / 体系)において余儀なく含意する / もたらす; x1 によって x2 は絶対 / まちがいなく起こる https://jbovlaste.lojban.org/dict/nibli
nicte	nicte (cte): x1 は x2 (日)の x3 (場所)における夜 https://jbovlaste.lojban.org/dict/nicte
ninmu	ninmu (nim, ni'u): x1 は女(の人) https://jbovlaste.lojban.org/dict/ninmu
nitcu	nitcu (tcu): x1 は x2 を x3 (目的 / 行動)のために要する; x2 が x1 には必要 https://jbovlaste.lojban.org/dict/nitcu
nixli	nixli (nix, xli): x1 は x2 (年齢)・ x3 (基準)の少女 / 未成熟の女 https://jbovlaste.lojban.org/dict/nixli
pacna	pacna (pa'a): x1 は x2 (事)を x3 (見込み / 確率 0-1)で期待する / 希望する / 願う; x2 は望まれている https://jbovlaste.lojban.org/dict/pacna
palku	palku (pak): x1 は x2 (素材)のズボン / スラックス / パンツ(女性用) https://jbovlaste.lojban.org/dict/palku
palta	palta: x1 は x2 (素材)の皿 https://jbovlaste.lojban.org/dict/palta
pastu	pastu (pas): x1 は x2 (素材)のガウン / 長衣 https://jbovlaste.lojban.org/dict/pastu
patfu	patfu (paf, pa'u): x1 は x2 の父親 https://jbovlaste.lojban.org/dict/patfu
patxu	patxu (pax): x1 は x2 (内容)・ x3 (素材)の壷 / 鉢 / かめ / やかん / ポット https://jbovlaste.lojban.org/dict/patxu
pelji	pelji (ple): x1 は x2 (資源)の紙 https://jbovlaste.lojban.org/dict/pelji
pelxu	pelxu (pel): x1 は黄色 https://jbovlaste.lojban.org/dict/pelxu
pemci	pemci (pem): x1 は x2 (特徴)・ x3 (作者)・ x4 (読者)の詩 https://jbovlaste.lojban.org/dict/pemci
pencu	pencu (pec, pe'u): x1 は x2 に、 x3 が x4 に接する形で触る https://jbovlaste.lojban.org/dict/pencu
pendo	pendo (ped, pe'o): x1 (者)は x2 (者)の友人; x1 は x2 にたいして友好的 https://jbovlaste.lojban.org/dict/pendo
penmi	penmi (pen, pe'i): x1 は x2 に x3 (所)で会う https://jbovlaste.lojban.org/dict/penmi
pensi	pensi (pes, pei): x1 は x2 (概念)について思慮する / 考慮する / 熟考する / 思いを巡らす; x2 は考え深い https://jbovlaste.lojban.org/dict/pensi
pikci	pikci: x1 は x2 (者)に x3 (事 / 物)を請う / せがむ / 懇願する / 嘆願する https://jbovlaste.lojban.org/dict/pikci
pilno	pilno (pli): x1 は x2 (道具 / 機械 / 者)を x3 (目的)のために使う / 用いる https://jbovlaste.lojban.org/dict/pilno
pinca	pinca: x1 は x2 (生体)の尿 https://jbovlaste.lojban.org/dict/pinca
pinsi	pinsi (pis): x1 は芯 / 先端 x2 (材質)・支持部 x3 (材質)の鉛筆 / クレヨン / 筆 https://jbovlaste.lojban.org/dict/pinsi
pinxe	pinxe (pix): x1 は x2 (液体)を x3 (容器 / 起源)から飲む https://jbovlaste.lojban.org/dict/pinxe
pixra	pixra (pir, xra): x1 は x2 (主題)・ x3 (作者)・ x4 (媒体)の絵 / 画 / 写真 / 造形; x3 は x2 を描いて x1 を創る https://jbovlaste.lojban.org/dict/pixra
platu	platu (pla): x1 (者)は x2 (物 / 事)を x3 (事)のために計画 / 設計 / デザインする / 企てる https://jbovlaste.lojban.org/dict/platu
pleji	pleji (lej, le'i): x1 は x2 (金 / 報酬)を x3 (者)に x4 (対価 / 商品 / サービス)のために支払う https://jbovlaste.lojban.org/dict/pleji
plipe	plipe (pip, pi'e): x1 (者 / 物)は x2 (終点)に x3 (起点)から x4 (高さ)ほど x5 (動力)によって跳躍 / ジャンプする https://jbovlaste.lojban.org/dict/plipe
plita	plita (pit): x1 は x2 (点の集合)による二次元の面(平面) https://jbovlaste.lojban.org/dict/plita
pluja	pluja (luj): x1 は x2 (性質)が x3 (基準)において複雑 / 煩雑 https://jbovlaste.lojban.org/dict/pluja
pluka	pluka (puk, pu'a): x1 (事)は x2 にとって、 x3 (条件)のもと快い / 心地良い https://jbovlaste.lojban.org/dict/pluka
ponse	ponse (pos, po'e): x1 は x2 を x3 (法 / 慣習)のもと所有する https://jbovlaste.lojban.org/dict/ponse
porpi	porpi (pop, po'i): x1 は砕けて / 壊れて x2 (破片)になる https://jbovlaste.lojban.org/dict/porpi
prami	prami (pam, pa'i): x1 は x2 を愛する / にたいして愛情が湧く https://jbovlaste.lojban.org/dict/prami
prenu	prenu (pre): x1 は(心理学上の)人; x1 は人格を有する https://jbovlaste.lojban.org/dict/prenu
preti	preti (ret, rei): x1 (文字列)は x2 (題目)に関する、 x3 (者)から x4 (者)への質問 / 質疑 https://jbovlaste.lojban.org/dict/preti
pritu	pritu: x1 は x2 に対して x3 (照合枠)における右方 / 右側 https://jbovlaste.lojban.org/dict/pritu
pulji	pulji: x1 は x2 (法 / 治安)を守る警察(官) https://jbovlaste.lojban.org/dict/pulji
punji	punji (puj, pu'i): x1 は x2 を x3 (所)に置く / 設置する https://jbovlaste.lojban.org/dict/punji
purci	purci (pur, pru): x1 は x2 (時点)よりも以前 / 過去; x1 は先人 https://jbovlaste.lojban.org/dict/purci
rafsi	rafsi (raf): x1 (文字列)は x2 (語)の x3 (部位 / 性質)に由来する、 x4 (言語)の形態素 / 語基 / 語幹 / 接辞 https://jbovlaste.lojban.org/dict/rafsi
ralju	ralju (ral): x1 は x2 (集合)・ x3 (性質)において主要 / 大本 https://jbovlaste.lojban.org/dict/ralju
ranji	ranji (ra'i): x1 (事 / 性質)は x2 (時間 / 期間)にわたって継続する / 続く https://jbovlaste.lojban.org/dict/ranji
rapli	rapli (rap): x1 (動作)は x2 (回数)にわたって繰り返す / 循環 / 反復する https://jbovlaste.lojban.org/dict/rapli
rarna	rarna (rar): x1 は自然 / 天然 / 本能的 / 自発的 https://jbovlaste.lojban.org/dict/rarna
rectu	rectu (rec, re'u): x1 は x2 (生体)の肉 https://jbovlaste.lojban.org/dict/rectu
remna	remna (rem, re'a): x1 は生物学的ヒト / ホモサピエンス https://jbovlaste.lojban.org/dict/remna
renro	renro (rer, re'o): x1 は x2 を x3 (方向)に投げる https://jbovlaste.lojban.org/dict/renro
renvi	renvi (rev, re'i): x1 は x2 (事)を x3 (時間 / 期間)にわたって耐え抜く / 辛抱する / 我慢する; x1 は長持ちする https://jbovlaste.lojban.org/dict/renvi
respa	respa (res): x1 は x2 (種類)の爬虫綱 / 爬虫類(カメ / トカゲ / ヘビ / ワニ) https://jbovlaste.lojban.org/dict/respa
rigni	rigni (rig): x1 は x2 (者)にとって x3 (条件)において不快 / 不愉快 / いまいましい / 吐き気をもよおさせる; x2 は x1 に愛想を尽かす / 嫌悪感を覚える https://jbovlaste.lojban.org/dict/rigni
rinka	rinka (rik, ri'a): x1 (事)は x2 (事)を x3 (条件)において引き起こす https://jbovlaste.lojban.org/dict/rinka
rirni	rirni (rir): x1 は x2 の育ての親 / 保護者 / 保育者 / 養育者; x1 は x2 を育てる https://jbovlaste.lojban.org/dict/rirni
rirxe	rirxe (ri'e): x1 は x2 (土地)の x3 (流域)が x4 (河口)に流れる河川 https://jbovlaste.lojban.org/dict/rirxe
ruble	ruble (rub, ble): x1 は x2 (性質)・ x3 (基準)において弱い / ひ弱 / 虚弱 / 微弱 / 華奢 https://jbovlaste.lojban.org/dict/ruble
rutni	rutni (run): x1 は民族 x2 が作った / 生み出した人工物 / 人為的な物 https://jbovlaste.lojban.org/dict/rutni
sampu	sampu (sap): x1 は x2 (性質)に関して簡単 / 単純 https://jbovlaste.lojban.org/dict/sampu
sance	sance (sna): x1 は x2 が発する音; x2 は音がする https://jbovlaste.lojban.org/dict/sance
sanga	sanga (sag, sa'a): x1 は x2 (音楽)を x3 (聴衆)に歌う / 詠唱する https://jbovlaste.lojban.org/dict/sanga
sanli	sanli (sa'i): x1 は x2 (所)に x3 (脚 / 支え)で立つ https://jbovlaste.lojban.org/dict/sanli
sanmi	sanmi (sai): x1 (群)は x2 (品 / コース)の食事 / ごはん https://jbovlaste.lojban.org/dict/sanmi
sarcu	sarcu (sa'u): x1 (抽象)は x2 (状態 / 過程)のために x3 (条件)のもと必須 / 欠かせない https://jbovlaste.lojban.org/dict/sarcu
savru	savru (sav, vru): x1 は x2 (者)・ x3 (知覚体系)にたいする騒音 / ノイズ https://jbovlaste.lojban.org/dict/savru
sazri	sazri (saz): x1 は x2 を x3 (目的)のために操作する https://jbovlaste.lojban.org/dict/sazri
sefta	sefta (sfe): x1 は x2 (もの)・ x3 (側)・ x4 (境)の表面 https://jbovlaste.lojban.org/dict/sefta
senpi	senpi (sen): x1 は x2 (命題)の真実性を疑う; x2 は信憑性に欠ける https://jbovlaste.lojban.org/dict/senpi
senva	senva (sev, sne): x1 は x2 (事)を夢見る; x2 は夢想 / 幻想 https://jbovlaste.lojban.org/dict/senva
serti	serti (ser): x1 は x2 (構造)・ x3 (段数)の階段 https://jbovlaste.lojban.org/dict/serti
sidju	sidju (dju): x1 は x2 (者)を x3 (行動 / 事)に関して助ける https://jbovlaste.lojban.org/dict/sidju
simlu	simlu (mlu): x1 は x2 (性質)であるよう x3 (者)に x4 (状態条件)の下で見受けられる; x1 は x2 らしい気が x3 にする https://jbovlaste.lojban.org/dict/simlu
simsa	simsa (smi): x1 は x2 に、 x3 (性質)の点で似ている / 相似的; x1 は x2 のよう https://jbovlaste.lojban.org/dict/simsa
simxu	simxu (sim, si'u): x1 (集合)は x2 (事 / 性質)の点で相互的 / 共通し合っている https://jbovlaste.lojban.org/dict/simxu
sinma	sinma (si'a): x1 は x2 を尊重・尊敬する; x2 は尊い https://jbovlaste.lojban.org/dict/sinma
sipna	sipna (sip): x1 は寝ている; x1 は眠る https://jbovlaste.lojban.org/dict/sipna
sirji	sirji (sir): x1 は x2 ・ x3 の間でまっすぐ / 直線的 / 直接的 https://jbovlaste.lojban.org/dict/sirji
sisti	sisti (sti): x1 (者)は x2 (動作 / 過程 / 状態)をやめる / 中止 / 終了する https://jbovlaste.lojban.org/dict/sisti
skaci	skaci: x1 は x2 (素材)のスカート / キルト https://jbovlaste.lojban.org/dict/skaci
skami	skami (sam): x1 は x2 (目的 / 機能)のコンピュータ https://jbovlaste.lojban.org/dict/skami
skapi	skapi (kap): x1 は x2 (起源)の(特に動物性の)革 / 皮膚 / 肌 https://jbovlaste.lojban.org/dict/skapi
skari	skari (ska): x1 は x2 (色相)の、 x3 (視覚者)にたいする、 x4 (条件)における色 https://jbovlaste.lojban.org/dict/skari
skicu	skicu (ski): x1 (者)は x2 (物 / 事 / 状態)を x3 (者)に x4 (表現 / 文字列)によって描写 / 叙述する https://jbovlaste.lojban.org/dict/skicu
slabu	slabu (sau): x1 は x2 (者)にとって x3 (性質)の点で x4 (観点)から判断してなじみがある https://jbovlaste.lojban.org/dict/slabu
slari	slari (sar): x1 は x2 (者)にとってすっぱい https://jbovlaste.lojban.org/dict/slari
sligu	sligu (lig): x1 は x2 (成分 / 物質)の x3 (条件)における固体 https://jbovlaste.lojban.org/dict/sligu
smadi	smadi: x1 は x2 (命題)を、 x3 (題目)について推測する https://jbovlaste.lojban.org/dict/smadi
smoka	smoka (smo): x1 は x2 (素材)の靴下 / ストッキング / タイツ https://jbovlaste.lojban.org/dict/smoka
snada	snada (sad): x1 (者)は x2 (成果)を x3 (努力 / 試み)によって達成する / 成功させる https://jbovlaste.lojban.org/dict/snada
snanu	snanu (nan): x1 は x2 に対して x3 (照合枠)における南方 / 南側 https://jbovlaste.lojban.org/dict/snanu
snidu	snidu (nid): x1 は x2 (数量)の、 x3 (基準)における秒 https://jbovlaste.lojban.org/dict/snidu
snura	snura (nur, nu'a): x1 は x2 (事 / 危険)にたいして安全 https://jbovlaste.lojban.org/dict/snura
solri	solri (sol): x1 は x2 (惑星)・ x3 (惑星に住む種族)の太陽 https://jbovlaste.lojban.org/dict/solri
sonci	sonci (son, soi): x1 は x2 (隊)の戦士 / 兵士 / 闘士 https://jbovlaste.lojban.org/dict/sonci
sovda	sovda (sov, so'a): x1 は x2 (生体)の卵 / 卵子 / 花粉 / 配偶子 https://jbovlaste.lojban.org/dict/sovda
